"SimpleRelevance Configuration","SimpleRelevance Configuration"
"SimpleRelevance integration","SimpleRelevance integration"
"Your SimpleRelevance API Key.<br />You can find it on your SimpleRelevance dashboard under <i>Account -> API Key</i>","Your SimpleRelevance API Key.<br />You can find it on your SimpleRelevance dashboard under <i>Account -> API Key</i>"
